unix,open,high,low,close,vwap,volume,tradecount,date,volume_from,Name,vwap_
1638799440,42882.3,42897.3,42801.9,42802.0,42865.3,1.17505315,111,2021-12-06 14:04:00,50294.624926300006,BTCEUR,42462.83
1638799500,42801.9,42816.8,42749.4,42782.4,42776.7,0.65320711,52,2021-12-06 14:05:00,27945.767862864,BTCEUR,42462.96
1638799560,42794.1,42813.4,42757.2,42812.0,42772.7,23.66376719,66,2021-12-06 14:06:00,1013093.2009382801,BTCEUR,42468.11
1638799620,42807.6,42811.9,42741.7,42741.7,42799.8,3.88303242,34,2021-12-06 14:07:00,165967.406785914,BTCEUR,42468.77
1638799680,42741.3,42809.5,42733.9,42809.5,42746.5,0.43751414,29,2021-12-06 14:08:00,18729.76157633,BTCEUR,42468.86
1638799740,42809.5,42826.2,42795.2,42808.9,42807.0,0.27286025,24,2021-12-06 14:09:00,11680.847156225002,BTCEUR,42468.92
1638799800,42801.8,42826.2,42801.8,42826.2,42811.4,0.20597578,19,2021-12-06 14:10:00,8821.159949436,BTCEUR,42468.96
1638799860,42826.2,42885.4,42826.1,42840.5,42849.6,0.60811303,26,2021-12-06 14:11:00,26051.866261715004,BTCEUR,42469.1
1638799920,42887.1,42895.8,42840.0,42840.0,42855.6,0.55169737,24,2021-12-06 14:12:00,23634.715330799998,BTCEUR,42469.23
1638799980,42855.3,42887.6,42840.1,42870.7,42858.6,1.87896689,26,2021-12-06 14:13:00,80552.625851123,BTCEUR,42469.7
1638800040,42861.4,42899.0,42861.4,42899.0,42886.2,0.48746084,26,2021-12-06 14:14:00,20911.58257516,BTCEUR,42469.83
1638800100,42899.0,42919.1,42870.1,42871.3,42896.1,1.04229126,71,2021-12-06 14:15:00,44684.38129483801,BTCEUR,42470.09
1638800160,42871.2,42912.8,42846.4,42890.1,42877.8,0.34072891,74,2021-12-06 14:16:00,14613.897022791,BTCEUR,42470.18
1638800220,42897.9,42897.9,42888.2,42888.3,42888.9,0.35764366,23,2021-12-06 14:17:00,15338.728583178,BTCEUR,42470.27
1638800280,42888.2,42888.2,42840.0,42840.1,42841.7,3.01033511,32,2021-12-06 14:18:00,128963.057145911,BTCEUR,42470.96
1638800340,42840.0,42903.1,42840.0,42883.8,42880.8,0.73848394,33,2021-12-06 14:19:00,31668.997586172,BTCEUR,42471.15
1638800400,42879.1,42902.1,42873.8,42887.5,42880.8,0.37005078,29,2021-12-06 14:20:00,15870.552827250001,BTCEUR,42471.24
1638800460,42885.2,42924.3,42885.2,42907.6,42910.3,0.29643233,25,2021-12-06 14:21:00,12719.199842708,BTCEUR,42471.32
1638800520,42906.6,42932.3,42904.8,42906.9,42919.2,0.35526740,43,2021-12-06 14:22:00,15243.422805060001,BTCEUR,42471.42
1638800580,42904.9,42932.2,42904.9,42910.0,42916.5,0.41243254,20,2021-12-06 14:23:00,17697.4802914,BTCEUR,42471.53
1638800640,42910.1,42931.7,42910.0,42916.5,42920.5,0.35975592,13,2021-12-06 14:24:00,15439.46494068,BTCEUR,42471.63
1638800700,42910.5,42931.4,42885.3,42920.1,42899.2,1.33947844,67,2021-12-06 14:25:00,57490.548592643994,BTCEUR,42472.0
1638800760,42925.0,42929.3,42816.7,42816.7,42884.2,1.06736610,34,2021-12-06 14:26:00,45701.09409387,BTCEUR,42472.23
1638800820,42818.1,42850.8,42817.6,42831.2,42824.6,0.95497744,27,2021-12-06 14:27:00,40902.829728127996,BTCEUR,42472.44
1638800880,42828.7,42898.2,42824.6,42870.5,42843.4,0.18235747,15,2021-12-06 14:28:00,7817.755917635,BTCEUR,42472.48
1638800940,42877.8,42915.8,42876.1,42907.6,42889.7,0.95585708,27,2021-12-06 14:29:00,41013.533245808,BTCEUR,42472.74
1638801000,42905.1,43057.5,42903.7,43056.3,42982.5,2.02832055,42,2021-12-06 14:30:00,87331.97809696502,BTCEUR,42473.47
1638801060,43060.4,43060.4,42892.5,42892.6,42998.3,2.69878238,28,2021-12-06 14:31:00,115757.793112388,BTCEUR,42474.17
1638801120,42892.5,42923.7,42794.7,42794.7,42835.6,1.95457522,38,2021-12-06 14:32:00,83645.460167334,BTCEUR,42474.55
1638801180,42820.5,42833.8,42798.4,42798.5,42813.4,0.72820119,38,2021-12-06 14:33:00,31165.918630215,BTCEUR,42474.69
